"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"366","Platform Engineer  DevOps Engineer  GCP ",2021-02-25,55000,80000,"per annum","London","Permanent, full-time","Jefferson Frank ","Recruitment consultancy","Information Technology"
"367","Data Engineer - AWS, Agile, Tooling Methods, Oil & Gas ",2021-03-09,500,600,"per day","London","Contract, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"368","Software Developer ",2021-02-24,80000,160000,"per annum","London","Permanent, full-time","McGregor Boyall","Direct employer","Information Technology"
"369","Product Manager Data Science ",2021-03-17,65000,75000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"370","Head of Data ",2021-02-27,80000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"371","Lead Data Engineer ",2021-02-22,NA,NA,NA,"London","Contract, full-time","Steria Recruitment","Recruitment consultancy","Information Technology"
"372","Linux Infrastructure Engineer / DevOps - WfH ",2021-03-10,60000,75000,"per annum","Camden","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"373","DevOps Engineer ",2021-02-25,80000,85000,"per annum","London","Permanent, full-time","Prism Digital","Recruitment consultancy","Information Technology"
"374","Data Engineer ",2021-03-09,50000,60000,"per annum","Watford","Permanent, full-time","Addition Solutions","Recruitment consultancy","Information Technology"
"375","UI / UX Designer - Fully Remote ",2021-03-04,60000,65000,"per annum","London","Permanent, full-time","Carrington Recruitment Solutions Ltd","Recruitment consultancy","Marketing And Media"
"376","Linux DevOps Engineer Kubernetes ",2021-03-01,60000,75000,"per annum","Camden","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"377","Mobile UI / UX Designer - Fully Remote ",2021-03-17,55000,65000,"per annum","London","Permanent, full-time","Carrington Recruitment Solutions Ltd","Recruitment consultancy","Marketing And Media"
"378","Python Developer ",2021-03-13,50000,75000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"379","Head of Machine Learning ",2021-02-22,80000,110000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"380","JavaScript Developer Electron React ",2021-03-17,75000,85000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"381","Data Engineer: London & Home based: 70,000 - 75,000  package ",2021-03-10,70000,75000,"per annum","London","Permanent, full-time","Broster Buchanan Ltd","Recruitment consultancy","Information Technology"
"382","Senior Data Analyst / Strategist ",2021-03-08,50000,1e+05,"per annum","London","Permanent, full-time","Search Party Digital Ltd","Recruitment consultancy","Marketing And Media"
"383","Lead Data Engineer ",2021-02-11,75000,90000,"per annum","London","Permanent, full-time","Wade Macdonald","Recruitment consultancy","Information Technology"
"384","Front End Developer JavaScript - Remote Working ",2021-03-03,75000,85000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"385","Web Developer JavaScript React - Remote Working ",2021-02-23,75000,85000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"386","Machine Learning Engineer Python - FinTech ",2021-03-10,55000,65000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"387","SQL Analyst ",2021-03-15,350,450,"per day","London","Contract, full-time","Harnham","Recruitment consultancy","Information Technology"
"388","DevOps Engineer / SRE - GCP  Terraform  Kubernetes ",2021-02-14,70000,80000,"per annum","London","Permanent, full-time","Method Resourcing","Direct employer","Information Technology"
"389","Senior Python Engineer ",2021-03-01,65000,85000,"per annum","Camden","Permanent, full-time","RedCat Digital","Recruitment consultancy","Information Technology"
"390","Front End Developer JavaScript Electron React ",2021-03-10,75000,85000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Information Technology"
"391","Data Engineer ",2021-03-19,65000,90000,"per annum","London","Permanent, full-time","Data Idols","Recruitment consultancy","Information Technology"
"392","Natural Language Processing (NLP) Expert - Remote ",2021-02-18,60000,70000,"per annum","London","Permanent, full-time","Profile 29","Recruitment consultancy","Information Technology"
"393","Senior Product Manager ",2021-03-04,75000,85000,"per annum","London","Permanent, full-time","La Fosse Associates","Recruitment consultancy","Information Technology"
"394","Senior Computational Biologist ",2021-03-17,NA,NA,NA,"London","Permanent, full-time","SRGEurope","Recruitment consultancy","Information Technology"
"395","Natural Language Processing (NLP) Expert - Remote ",2021-03-09,60000,70000,"per annum","London","Permanent, full-time","Profile 29","Recruitment consultancy","Information Technology"
"396","Technical Pre Sales Director - FinCrime - AI ",2021-02-23,125000,175000,"per annum","London","Permanent, full-time","Jefferson Frank ","Recruitment consultancy","Sales"
"397","Mid Level - Senior Python Engineer ",2021-03-11,65000,85000,"per annum","London","Permanent, full-time","NEULINX LIMITED","Recruitment consultancy","Information Technology"
"398","Insight Analyst ",2021-03-23,35000,40000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Marketing And Media"
"399","Senior Product Manager ",2021-02-24,70000,85000,"per annum","London","Permanent, full-time","Intelligent People Ltd","Recruitment consultancy","Information Technology"
"400","Data Engineer ",2021-02-18,60000,90000,"per annum","Camden","Contract, full-time","Aquent UK","Recruitment consultancy","Information Technology"
"401","Mid Level Software Engineer ",2021-02-11,45000,55000,"per annum","London","Permanent, full-time","NEULINX LIMITED","Recruitment consultancy","Information Technology"
"402","AWS Data Engineer ",2021-03-11,65000,85000,"per annum","London","Permanent, full-time","Hurren & Hope ","Recruitment consultancy","Information Technology"
"403","Senior Insight Analyst / Data Strategist ",2021-02-22,60000,65000,"per annum","Southwark","Permanent, full-time","Blue Pelican","Recruitment consultancy","Marketing And Media"
"404","Data Strategist / Insight Consultant ",2021-03-05,35000,45000,"per annum","London","Permanent, full-time","Blue Pelican","Recruitment consultancy","Marketing And Media"
"405","Full Stack Engineer (React, TypeScript, Next, AWS) - (Enterprise simulation AI platform)-£75k/REMOTE ",2021-03-08,75000,80000,"per annum","London","Permanent, full-time","	 Honor Search Ltd","Recruitment consultancy","Information Technology"
"406","Senior Insight Consultant / Senior Data Strategist ",2021-02-22,60000,70000,"per annum","Southwark","Permanent, full-time","Blue Pelican","Recruitment consultancy","Marketing And Media"
"407","AI FOOTY FANATIC & RESEARCHER ",2021-03-11,10,NA,NA,"London","Permanent, full-time","GradBay","Recruitment consultancy","Marketing And Media"
"408","Cloud Engineer / Developer - Azure - .Net - £90K  Package ",2021-03-09,80000,90000,"per annum","London","Permanent, full-time","INTEC SELECT LIMITED","Recruitment consultancy","Information Technology"
"409","DevOps Engineer ",2021-03-01,80000,90000,"per annum","London","Permanent, full-time","INTEC SELECT LIMITED","Recruitment consultancy","Information Technology"
"410","Data Engineer ",2021-02-11,60000,65000,"per annum","Uxbridge","Permanent, full-time","Definitive Recruitment Ltd","Recruitment consultancy","Information Technology"
"411","Proposal / Bid Manager ",2021-03-11,30000,40000,"per annum","London","Permanent, full-time","Illuminate Recruitment Ltd","Recruitment consultancy","Information Technology"
"412","Azure Cloud Engineer - £80K Circa - London / Flexible Working ",2021-02-09,80000,NA,NA,"London","Permanent, full-time","INTEC SELECT LIMITED","Recruitment consultancy","Information Technology"
"413","Cloud Engineer ",2021-03-03,50000,65000,"per annum","London","Permanent, full-time","Goodman Masson","Recruitment consultancy","Information Technology"
"414","Data Engineer ",2021-02-22,60000,65000,"per annum","Uxbridge","Permanent, full-time","Definitive Recruitment Ltd","Recruitment consultancy","Information Technology"
"415","Python Developer ",2021-03-04,780,800,"per day","London","Contract, full-time","Pontoon","Recruitment consultancy","Information Technology"
"416","Insight Consultant / Insight Analyst ",2021-02-22,35000,50000,"per annum","Southwark","Permanent, full-time","Blue Pelican","Recruitment consultancy","Marketing And Media"
"417","Strategic Insights Consultancy Director / Applied Sciences Director ",2021-03-08,80000,95000,"per annum","London","Permanent, full-time","Blue Pelican","Recruitment consultancy","Marketing And Media"
"418","Marketing Operations Executive ",2021-03-23,22000,25000,"per annum","London","Permanent, full-time","Give A Grad A Go Ltd","Recruitment consultancy","Marketing And Media"
"419","Decision Science Manager ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"420","Content Strategist and Writer ",2021-02-17,55000,NA,NA,"London","Permanent, full-time","Ledger Bennett","Direct employer","Marketing And Media"
"421","Data Governance Lead ",2021-03-16,NA,NA,NA,"Reigate","Permanent, full-time","esure","Direct employer","Information Technology"
"422","Data Governance Lead ",2021-02-10,NA,NA,NA,"Reigate","Permanent, full-time","esure","Direct employer","Information Technology"
"423","Data Engineer ",2021-03-10,NA,NA,NA,"London","Permanent, full-time","Adecco ","Recruitment consultancy","Information Technology"
"424","Senior Product Owner - Analytics ",2021-03-01,NA,NA,NA,"Luton",NA,"TUI","Direct employer","Information Technology"
"425","Enterprise Data Architect ",2021-02-11,NA,NA,NA,"Epsom","Permanent, full-time","Kinect Recruitment","Recruitment consultancy","Information Technology"
"426","Senior Consultant - Data Science and Analytics Aviation ",2021-03-16,NA,NA,NA,"Luton",NA,"TUI","Direct employer","Information Technology"
"427","Senior Product Owner - Data Science ",2021-03-17,NA,NA,NA,"Luton",NA,"TUI","Direct employer","Information Technology"
"428","Microarray Assay Scientist ",2021-03-03,40000,65000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Engineering"
"429","Senior Scientist, NGS Clonal Amplification ",2021-03-15,40000,60000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"430","Senior Scientist - NGS ",2021-03-22,35000,45000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"431","Quant/Python Developer Data Science Team - Systematic Trading ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"432","Data Science ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"433","Senior Quantitative Analyst / Data Science- Commodity /Power ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Financial Services"
"434","Senior Quantitative Analyst - Stack Modeling ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Financial Services"
"435","Macro Quant Researcher ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Financial Services"
"436","Director or VP, Fundamental Equities Research Analyst, European Technology sector ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Financial Services"
"437","VP Quantitative Behavioural Researcher - CIB Digital Experience Design - London ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Marketing And Media"
"438","Quant Analyst ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"439","Asset Management Research Technology - Data Science Analytics Team Lead - Executive Director ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"440","Buy-side KDB developer ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"441","Principal Data Engineer ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"442","Quant KDB developer ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"443","Digital Delivery Lead ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"444","Data Analyst Data Science Investment Team- Asset Manager - London ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"445","Quality Assurance Lead- Sports Betting Fintech ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"446","Product Manager - Alternative Data ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"447","Data Engineer Associate, AI Labs, Edinburgh ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"448","Head of Modelling ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"449","Head of Market Regulation ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Financial Services"
"450","Software engineer - Data science - Senior Associate ",2021-03-22,NA,NA,NA,"London","Permanent, full-time","The Guardian","Direct employer","Information Technology"
"451","Data Engineer ",2021-03-18,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"452","Senior Product Manager - Enterprise Quant Platform ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"453","Senior Product Manager - Data ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"454","Head of Operations ",2021-03-21,NA,NA,NA,"London","Permanent, full-time or part-time","The Guardian","Direct employer","Health And Social"
"455","Challenge Director - UK Technologies and Markets ",2021-03-21,NA,NA,NA,"London","Permanent, full-time or part-time","The Guardian","Direct employer","Information Technology"
"456","Product Designer - Marquee Content ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Marketing And Media"
"457","Product Designer - Marquee Trading Platform ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Marketing And Media"
"458","Digital and Programmatic Senior Associate ",2021-03-22,NA,NA,NA,"London","Permanent, full-time","The Guardian","Direct employer","Marketing And Media"
"459","Power Consultant ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Legal"
"460","Senior Scientist ",2021-03-19,36329,45998,NA,"London","Contract, full-time","NHS Business Services Authority","Direct employer","Information Technology"
"461","EQUITIES TRADING BEHAVIOURAL SCIENTIST ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Marketing And Media"
"462","Quantitative Research Scientist ",2021-03-17,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
