"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"228","Data Coach ",2021-02-25,NA,NA,NA,"London","Permanent, full-time","Multiverse","Direct employer","Education"
"229","Product Manager Data Science ",2021-02-23,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"230","Data Science Product Manager ",2021-03-12,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"231","Data Science Product Manager ",2021-02-27,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"232","Data Engineer ",2021-03-12,NA,NA,NA,"London",NA,"London Stock Exchange Group","Direct employer","Information Technology"
"233","Senior Data Scientist, Optimisation Lead - Athena Applied Intelligence - London ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","eFinancial Careers","Direct employer","Information Technology"
"234","Senior Scientist / Team Lead - Bioconjugation ",2021-02-17,NA,NA,NA,"London","Permanent, full-time","Hyper Recruitment Solutions Ltd","Recruitment consultancy","Health And Social"
"235","Associate Data Coach ",2021-02-25,NA,NA,NA,"London","Permanent, full-time","Multiverse","Direct employer","Education"
"236","Senior Research Scientist - Clinical Trials  CRO ",2021-03-08,37000,47000,"per annum","London","Permanent, full-time","Compass Associates Ltd","Recruitment consultancy","Health And Social"
"237","R&D Scientist ",2021-03-02,NA,NA,NA,"London","Permanent, full-time","Cranleigh Scientific","Recruitment consultancy","Engineering"
"238","Head of Data ",2021-03-12,60000,80000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"239","Software Engineer Fullstack, JavaScript ",2021-03-21,60000,70000,"per annum","Camden","Permanent, full-time","Understanding Recruitment","Recruitment consultancy","Information Technology"
"240","Software Engineer AI, NLP ",2021-03-21,70000,80000,"per annum","Camden","Permanent, full-time","Understanding Recruitment","Recruitment consultancy","Information Technology"
"241","Senior Scientist ",2021-03-17,45000,55000,"per annum","London","Permanent, full-time","Bond Recruitment","Recruitment consultancy","Information Technology"
"242","Quality Control Scientist ",2021-02-19,NA,NA,NA,"Wimbledon",NA,"Nelsons","Direct employer","Engineering"
"243","Industrialisation Scientist Automation ",2021-03-16,NA,NA,NA,"London","Permanent, full-time","Hyper Recruitment Solutions Ltd","Recruitment consultancy","Health And Social"
"244","Clinical Safety Scientist ",2021-03-19,NA,NA,NA,"Brentford","Contract, full-time","CK GROUP","Recruitment consultancy","Health And Social"
"245","Research Scientist - Computer Vision PhD R&D ",2021-02-25,50000,75000,"per annum","London","Permanent, full-time","Client Server Ltd.","Recruitment consultancy","Engineering"
"246","Data Engineer ",2021-03-15,65000,75000,"per annum","London","Permanent, full-time","Data Idols","Recruitment consultancy","Information Technology"
